N ,Parameter 1,Parameter 2,Parameter 3,Parameter 5,Parameter 6,Parameter 7,Parameter 8,Parameter 9,Parameter 10,Parameter 11,Parameter 12,Parameter 13,Parameter 14,Parameter 15,Parameter 16,Parameter 17,Parameter 18,Parameter 19,Parameter 20,Parameter 21,Parameter 22,Parameter 31,Parameter 32,Parameter 33,Parameter 34,Parameter 35,Parameter 36,Parameter 37,Parameter 38,Parameter 39,Populations
48,2.2815,12.679095,5.607201648,3.734970617,3.93,6.55,2.62,3.93,0.416836709,10.09362197,2.211485892,0.008342246,0,0,0,0.008342246,0,0,0,1,0.158166667,3,2,5,8.400857099,8.400857099,0,0,0,0,stim
61,1.482975,10.506795,5.923751391,2.976245685,2.62,7.86,5.24,2.62,0.241234884,5.226229422,1.021911396,0.04875,0,0,0,0.04875,0,0,0,1,0.247344584,4,1,5,1.233288287,1.233288287,0,0,0,0,stim
96,0.494325,3.288285,1.740670077,3.638777308,2.62,10.48,2.62,7.86,0.396389276,8.407379524,2.051188097,0,0,0,0,0,,,,,0,3,1,8,5.62427554,5.583950215,0,0,0,0,stim
117,0.494325,2.41098,0.935760645,4.551177471,2.62,3.93,1.31,2.62,0.34929356,10.32230853,0.457359477,0.132321429,0,0.0975,0,0.034821429,0,0.736842105,0,0.263157895,0.018571429,1,1,4,0.499364391,0.436033256,0.0296595,0,0.0296595,0,stim
1,29.73555,41.162355,4.534345284,3.705667238,5.24,14.41,6.55,7.86,1.255076289,16.2468834,2.895658524,25.51719366,0,13.32030799,0,12.19688566,0,0.522013046,0,0.477986954,0.025687851,6,2,5,0.507279959,0,0.066733875,0.066733875,0.066733875,0.04448925,stim
2,33.043725,77.198355,14.35215874,2.571028179,6.55,15.72,7.86,6.55,1.017156243,14.60138811,2.445781334,9.917011519,0.037981148,7.846580841,1.106450224,0.925999305,0.003829899,0.791224335,0.111570933,0.093374834,4.089103904,17,3,7,0,0,0,307.1686118,0,307.1686118,stim
3,48.710025,56.5929,5.232336685,4.800425782,7.86,13.1,2.62,9.17,1.248777747,21.81078557,4.525153947,0.004818959,0,0,0,0.004818959,0,0,0,1,2.639280871,3,1,6,1.440395454,0,0.037074375,62.32202438,0.037074375,37.18559813,stim
4,49.7367,54.87378,4.817735187,4.849657683,5.24,10.48,2.62,7.86,0.916503012,16.50009483,3.174464748,1.273154304,0,0.912282529,0,0.360871775,0,0.716552995,0,0.283447005,2.986019615,25,3,2,0,0,0,15.49708875,0,3.66294825,stim
8,19.887075,40.582035,6.590022032,2.029597065,7.86,13.1,3.93,6.55,0.888223648,10.85611183,3.520282975,3.876533278,2.021691738,0,0.890000631,0.964840909,0.521520542,0,0.229586738,0.248892719,1.009511842,18,4,4,0,0,0,0,0,0,stim
11,13.46085,39.52728,9.236586709,5.799799916,9.17,14.41,6.55,7.86,1.511098146,36.18500196,4.585027669,11.11003884,7.1264375,0.086666667,2.181206323,1.715728354,0.641441277,0.007800753,0.196327515,0.154430455,0.842510163,4,1,4,9.900047553,9.874011343,0.031127935,14.06781104,0,0,stim
12,12.4722,31.16529,6.197112988,4.639531983,9.17,19.65,2.62,17.03,1.646559119,24.28707425,6.869454288,0.66523479,0,0.25339998,0.245310611,0.166524199,0,0.380918112,0.36875794,0.250323948,0.942763865,14,2,3,1.186138693,1.186138693,1.087072805,0,0,0,stim
13,14.37345,46.581015,12.0128764,2.753908782,5.24,17.03,10.48,6.55,0.935644329,11.97014434,2.273656693,8.508754329,4.473637676,0.039713959,3.980888889,0.014513806,0.525768814,0.004667423,0.467858012,0.00170575,1.145621682,10,2,8,0,0,0.007414875,0.022244625,0.007414875,0,stim
14,12.814425,31.026645,5.978065176,4.408310316,3.93,7.86,2.62,5.24,0.797614038,10.33108125,1.86374754,0,0,0,0,0,,,,,0.018209828,17,3,7,0,0,0,0,0,0,stim
16,5.0193,18.38148,5.356830863,2.277650915,11.79,19.65,5.24,14.41,1.571969509,16.9306953,11.76429867,0.741968456,0.276745427,0.022159091,0.443063939,0,0.37298813,0.029865274,0.597146597,0,0.268539216,9,3,5,0,0,0,0,0,0,stim
17,6.350175,31.12668,12.14143569,3.249706913,7.86,13.1,5.24,6.55,1.132225275,16.10629259,4.463565375,1.916403483,1.86891647,0,0.047487013,0,0.975220765,0,0.024779235,0,0.545542114,12,3,7,0,0,0,0,0,0,stim
18,5.85585,30.84315,12.92759222,2.600512036,6.55,17.03,5.24,11.79,0.993837714,10.30068822,3.99401332,0.15847378,0.053307927,0,0.020395408,0.084770445,0.336383261,0,0.128698944,0.534917795,0.524583806,13,2,8,0,0,0,0,0,0,stim
24,3.232125,13.814385,4.698563476,4.170521234,3.93,6.55,2.62,3.93,0.371548563,8.102129967,1.371067713,0,0,0,0,0,,,,,0,5,1,3,6.802677782,6.802677782,0,0,0,0,stim
25,2.851875,12.037155,4.043033647,2.183652013,3.93,19.65,5.24,14.41,0.829523802,9.548558958,5.381546737,0.280082312,0,0.178791887,0.072738095,0.02855233,0,0.638354795,0.259702566,0.101942639,0.617337766,9,2,8,0,0,0,0,0,0,stim
26,2.395575,12.859665,5.493380406,2.80057239,2.62,15.72,2.62,13.1,1.17557478,12.21564951,7.704760075,5.347588235,1.837588235,0,3.51,0,0.343629344,0,0.656370656,0,5.347588235,5,1,5,0,0,0,0,0,0,stim
30,2.2815,7.96185,2.211045325,5.445151102,7.86,15.72,3.93,10.48,1.224319577,29.49967398,4.631389574,0,0,0,0,0,,,,,0.04302381,2,1,8,11.95240248,11.95240248,0,0,0,0,stim
35,3.27015,15.1593,5.592175047,3.979641163,5.24,13.1,2.62,9.17,0.460844755,14.43767225,3.806433101,0,0,0,0,0,,,,,0,8,5,5,13.27862662,13.27862662,0,0,0,0,stim
42,1.44495,7.83939,3.384557197,3.526352587,2.62,3.93,1.31,2.62,0.354994595,4.898185456,0.908769064,0,0,0,0,0,,,,,0,9,1,4,4.886685994,4.886685994,0,0,0,0,stim
43,0.68445,4.20108,2.051966714,3.504637899,5.24,14.41,9.17,5.24,0.574262977,7.0777704,2.618950403,0,0,0,0,0,,,,,0,8,3,5,0,0,0,0,0,0,stim
44,4.03065,21.632715,9.239258229,3.948474624,2.62,6.55,2.62,3.93,0.257316113,7.308847653,1.665096242,0,0,0,0,0,,,,,0.076327561,8,3,6,13.79133967,13.79133967,0,0,0,0,stim
46,4.33485,19.14744,6.730347629,4.2933344,3.93,5.24,1.31,2.62,0.277121365,8.970910831,0.647944465,0,0,0,0,0,,,,,0,8,3,3,14.76473247,14.76473247,0,0,0,0,stim
56,0.9126,4.5123,1.775438378,4.480091648,2.62,5.24,2.62,2.62,0.307823062,8.471937466,1.253383645,0,0,0,0,0,,,,,0,6,2,7,16.91898933,16.91898933,0,0,0,0,stim
57,2.4336,14.507805,6.882470498,2.826990386,2.62,6.55,1.31,5.24,0.300701529,6.892636806,2.005093718,0,0,0,0,0,,,,,0.017553476,2,1,4,15.65474768,15.65474768,0,0,0,0,stim
59,1.863225,9.0246,3.478409884,5.184516233,2.62,5.24,2.62,2.62,0.281132847,8.2226917,0.980393825,0.048431373,0,0,0.048431373,0,0,0,1,0,0.13,7,4,3,15.09708084,15.09708084,0,0,0,0,stim
60,0.68445,3.562455,1.475527073,3.130693285,2.62,26.2,15.72,10.48,2.086734295,25.69969804,7.302179432,0.070909091,0,0,0,0.070909091,0,0,0,1,0.01625,8,1,7,0.086666667,0,0,0,0,0,stim
62,0.950625,5.89758,2.911579052,2.333830867,2.62,20.96,18.34,2.62,1.522856832,16.42578693,1.126634019,0,0,0,0,0,,,,,0,8,1,6,0.212132034,0,0,0,0,0,stim
63,0.722475,3.634995,1.455375126,5.472561979,2.62,10.48,6.55,3.93,0.538668096,15.64539372,0.64665717,0,0,0,0,0,,,,,0,1,1,8,5.965852831,5.965852831,0,0,0,0,stim
64,1.102725,5.95725,2.561029419,4.28759859,2.62,10.48,3.93,6.55,0.35045737,11.44334476,1.87139787,0.062892857,0,0.042,0.020892857,0,0,0.667802385,0.332197615,0,0,3,1,4,5.379314547,5.379314547,0,0,0,0,stim
65,1.6731,8.089185,3.112273626,3.620602116,3.93,6.55,1.31,5.24,0.249072343,6.649254634,1.757453906,1.775232843,0.369607843,0,0,1.405625,0.208202459,0,0,0.791797541,0,6,4,3,13.6512897,13.16935932,0,0,0,0,stim
69,0.7605,5.1558,2.781525476,1.85303562,5.24,11.79,7.86,3.93,0.552550972,8.672749368,2.526583455,0,0,0,0,0,,,,,0,5,2,3,0.290340882,0,0,0,0,0,stim
73,0.53235,2.92383,1.277900716,3.387265504,3.93,11.79,7.86,3.93,0.590379,16.87846214,2.349152534,0,0,0,0,0,,,,,0,2,2,5,14.24568092,14.24568092,0,0,0,0,stim
76,1.2168,5.354115,1.87476279,8.547753858,2.62,5.24,1.31,3.93,0.285076529,11.17378428,1.102769945,0,0,0,0,0,,,,,0,4,4,4,15.79981408,15.79981408,0,0,0,0,stim
77,0.874575,2.99637,0.816928331,3.71408196,3.93,3.93,1.31,2.62,0.294143677,9.258156669,1.375470248,0,0,0,0,0,,,,,0,3,1,2,3.144280522,3.144280522,0,0,0,0,stim
80,2.05335,12.04203,5.619873799,1.830130789,5.24,13.1,9.17,3.93,1.125661254,8.158393939,0.983261425,1.408068609,0.507293233,0.320723684,0.083571429,0.496480263,0.360275934,0.227775608,0.059351816,0.352596642,0.104097744,6,1,3,0.974927029,0.872066511,0.010836007,0.063016314,0,0,stim
85,0.494325,2.61417,1.100133055,2.58756535,2.62,5.24,1.31,3.93,1.470957637,20.47135586,1.140632836,0,0,0,0,0,,,,,0,4,1,6,6.780826788,6.455648689,0,0,0,0,stim
88,0.798525,4.434885,1.960046362,2.9357702,2.62,3.93,1.31,2.62,0.387755066,6.659435194,1.329219286,0,0,0,0,0,,,,,0.081714286,2,1,2,7.112691666,7.033528631,0.272272355,0,0,0,stim
91,0.798525,3.72528,1.382991338,10.14315439,3.93,3.93,1.31,2.62,0.436345965,18.87960571,1.488545399,0,0,0,0,0,,,,,0,4,4,7,15.79620366,15.79620366,0,0,0,0,stim
93,0.570375,2.86572,1.145769253,3.12634881,2.62,3.93,1.31,2.62,0.278911561,5.12982041,0.617172008,0,0,0,0,0,,,,,0,2,1,1,12.03957225,12.03957225,0,0,0,0,stim
99,1.0647,4.984785,1.857187469,3.008462269,3.93,5.24,1.31,2.62,0.249271095,7.328951468,0.925996235,0,0,0,0,0,,,,,0,7,4,6,13.85049187,13.85049187,0,0,0,0,stim
101,0.98865,5.902455,2.804225503,9.424492774,3.93,3.93,1.31,2.62,0.644034505,18.50797511,1.384404746,0,0,0,0,0,,,,,0.239972403,6,1,1,0.496236885,0.436033256,0,0,0,0,stim
102,0.53235,4.255875,2.70751334,5.240962262,2.62,26.2,3.93,22.27,0.364431441,7.683237073,15.95432771,0,0,0,0,0,,,,,0,5,1,10,4.564832965,4.564832965,0,0,0,0,stim
107,0.570375,3.431805,1.643141103,3.715920092,2.62,3.93,1.31,2.62,0.208843499,5.389766633,0.849121047,0,0,0,0,0,,,,,0,1,1,5,6.825,6.825,0,0,0,0,stim
114,0.646425,2.48352,0.759289362,11.84559775,2.62,7.86,2.62,5.24,0.350540221,15.73472698,1.22662958,0,0,0,0,0,,,,,0,4,4,5,15.79620366,15.79620366,0,0,0,0,stim
121,0.38025,2.739945,1.571102803,2.796499845,5.24,6.55,2.62,3.93,0.669387698,6.810207587,2.074285606,0,0,0,0,0,,,,,0,8,3,3,0,0,0,0,0,0,stim
128,0.418275,2.02878,0.783065586,3.863567913,3.93,6.55,2.62,3.93,0.36827454,8.60179712,1.514659411,0,0,0,0,0,,,,,0,1,1,3,2.223342079,2.223342079,0,0,0,0,stim
158,0.38025,2.13681,0.955548485,8.264767373,2.62,3.93,1.31,2.62,0.291836679,11.7173492,1.007186214,0,0,0,0,0,,,,,0,2,1,7,10.14,10.14,0,0,0,0,stim
70,0.874575,3.381885,1.04066452,5.111307914,2.62,10.48,1.31,9.17,0.613575757,16.64338922,5.325389276,0.014181818,0,0.014181818,0,0,0,1,0,0,0.028166667,3,1,7,9.592731623,9.592731623,0,0,0,0,stim
84,0.6084,2.501265,0.818314681,4.590719709,2.62,5.24,1.31,3.93,0.581632555,12.55742441,1.652459368,0,0,0,0,0,,,,,0,1,1,6,20.95229403,20.95229403,0,0,0,0,stim
105,0.570375,2.941575,1.207228573,3.879606952,3.93,6.55,1.31,5.24,0.373469383,8.25173944,2.332548989,0,0,0,0,0,,,,,0,4,4,1,23.36422265,23.36422265,0,0,0,0,stim
109,0.494325,3.5802,2.063441389,4.743168677,5.24,6.55,1.31,5.24,0.660910487,12.83436775,2.924410653,0,0,0,0,0,,,,,0,2,2,6,27.69892462,27.69892462,0,0,0,0,stim
110,0.342225,2.13681,1.061720539,3.09042252,2.62,10.48,2.62,7.86,0.643990874,8.554547129,3.459147664,0,0,0,0,0,,,,,0,2,2,7,0.551543289,0.551543289,0,0,0,0,stim
129,0.4563,2.99637,1.565779301,2.532936842,2.62,7.86,5.24,2.62,0.34438774,5.276799058,0.502774957,0,0,0,0,0,,,,,0,4,4,6,23.83911991,23.79079917,0.02834363,0.134671816,0,0,stim
143,0.418275,2.083575,0.825936205,5.005703149,2.62,3.93,1.31,2.62,0.40816322,7.897714367,1.014006609,0,0,0,0,0,,,,,0,2,1,7,9.854737439,9.854737439,0,0.06443923,0,0,stim
5,47.189025,74.987055,9.482475453,6.785318849,6.55,10.48,5.24,5.24,1.142997265,25.87148733,2.776765506,10.6948827,1.138745863,3.623347928,0,5.93278891,0.106475769,0.338792676,0,0.554731555,0.9265,4,2,4,0,0,2.083579875,130.0791521,0.0296595,115.9908896,stim
6,30.03975,47.956935,6.092515739,5.103424003,6.55,11.79,2.62,7.86,1.033273339,20.99270047,3.202764719,0.890674955,0.612669392,0,0.278005563,0,0.68787091,0,0.31212909,0,1.897409585,9,3,2,0,0,0,0,0,0,stim
7,26.84565,50.49681,7.558647623,5.709387232,6.55,9.17,2.62,6.55,1.056845427,20.93418178,3.29751103,10.25021204,0.009176471,5.853026705,3.256368204,1.13164066,0.000895247,0.571015183,0.317687887,0.110401683,0.163589713,2,2,10,0.062290465,0,0.04448925,7.10345025,0,7.10345025,stim
33,0.950625,5.317065,2.36659991,3.173297458,5.24,24.89,7.86,17.03,1.210203886,31.87180761,19.85878724,0.017727273,0,0,0,0.017727273,0,0,0,1,0.088636364,2,1,10,2.348110943,2.348110943,0,0,0,0,stim
34,2.50965,9.67941,2.970809129,6.127405247,2.62,9.17,5.24,3.93,1.019325852,16.87510124,1.432761611,0.041296524,0.006475096,0,0.034821429,0,0.156795176,0,0.843204824,0,0.010982759,5,1,7,3.860803025,3.860803025,0.001479286,0,0,0,stim
52,1.787175,10.284105,4.709296769,3.87741903,3.93,6.55,2.62,3.93,0.248154566,6.975354614,1.344250104,0,0,0,0,0,,,,,0,3,2,6,3.315,3.315,0,0,0,0,stim
68,1.254825,5.042895,1.612749161,2.461020216,2.62,9.17,5.24,3.93,0.293135405,3.48902616,0.851644165,0,0,0,0,0,,,,,0,5,3,6,3.870639482,3.870639482,0,0,0,0,stim
74,0.950625,5.75406,2.771594411,4.600433774,3.93,11.79,2.62,9.17,0.797959089,12.45257184,3.376031608,0.461922078,0,0.205636364,0,0.256285714,0,0.445175439,0,0.554824561,0.005064935,5,3,7,4.294429531,4.294429531,0.044428549,0.355944122,0,0,stim
83,1.178775,6.3024,2.68145891,4.133003807,2.62,3.93,1.31,2.62,0.44470045,5.168266965,0.738488952,0,0,0,0,0,,,,,0,5,3,3,4.276683879,4.276683879,0,0,0,0,stim
87,1.026675,4.841265,1.816665047,2.832711412,5.24,5.24,1.31,2.62,0.312169254,8.999707597,2.737418475,0,0,0,0,0,,,,,0,2,2,4,4.971544026,4.971544026,0,0,0,0,stim
25,2.119005,9.287166,3.239101603,2.710745438,15.72,45.85,24.89,20.96,1.463768125,55.57849312,18.67323255,1.045654722,0.290711111,0,0.754943611,0,0.278018265,0,0.721981735,0,0.962881542,1,1,5,13.8735039,13.78248983,0.280551607,0.199635919,0,0,Control
26,7.487151,30.246762,9.723694867,4.100693984,2.62,6.55,3.93,2.62,0.197812408,6.915753118,1.40032661,0,0,0,0,0,,,,,0,4,1,5,3.863575158,3.863575158,0,0,0,0,Control
30,5.321057,18.718203,5.23987022,5.228381925,3.93,3.93,1.31,2.62,0.287649095,12.23430076,1.653267099,0,0,0,0,0,,,,,0,2,2,4,10.86951245,10.86951245,0,0,0,0,Control
35,3.202052,12.950126,4.167827573,3.291190335,3.93,6.55,2.62,3.93,0.320332497,8.833808434,1.137614387,0.855688211,0.401966667,0,0,0.453721545,0.469758332,0,0,0.530241668,0,2,1,5,6.831685486,6.599797345,0.016729029,0.682609556,0,0,Control
44,1.695204,7.828275,2.87673803,3.589879509,3.93,7.86,2.62,5.24,0.24999997,9.574591,2.113683138,0,0,0,0,0,,,,,0,2,1,5,4.213377861,4.213377861,0,0,0,0,Control
50,2.495717,10.015852,3.198678533,4.056525437,5.24,13.1,7.86,5.24,0.565873623,19.55914493,1.552864433,2.983952477,0,2.440516892,0.543435586,0,0,0.817880617,0.182119383,0,0.163727477,1,1,5,2.9515191,2.9515191,0.027294782,0.042883953,0,0,Control
53,2.872429,10.407103,3.000547726,3.884025743,2.62,3.93,1.31,2.62,0.152815402,4.917012372,0.900547834,0,0,0,0,0,,,,,0,2,2,8,12.42218391,12.42218391,0,0,0,0,Control
67,0.94178,5.060874,2.164171743,5.816624583,6.55,9.17,5.24,3.93,0.496956497,23.73071084,1.954324029,0,0,0,0,0,,,,,0,1,1,5,11.86376926,11.86376926,0,0,0,0,Control
81,0.565068,2.604,0.954929659,2.620045658,2.62,11.79,2.62,9.17,0.665942013,11.69668921,4.98991656,0,0,0,0,0,,,,,0,1,1,5,0.050076923,0,0,0,0,0,Control
85,0.894691,5.16677,2.374407885,7.082395264,2.62,6.55,3.93,2.62,0.502974808,29.66331517,1.15558054,0,0,0,0,0,,,,,0,1,1,4,14.204259,13.54817043,0,0,0,0,Control
103,0.753424,2.928849,0.906034321,3.797898023,2.62,5.24,1.31,3.93,0.20923911,6.001330827,0.907256156,0,0,0,0,0,,,,,0,1,1,3,1.953,1.953,0,0,0,0,Control
115,0.565068,2.237921,0.705308188,6.327110325,2.62,14.41,6.55,7.86,0.355072498,17.7594604,1.743818391,0,0,0,0,0,,,,,0,1,1,5,14.44521354,14.20480077,0.241827698,0.016512351,0,0,Control
124,0.659246,3.13348,1.185213219,4.212183094,2.62,2.62,1.31,1.31,0.220496908,6.805328999,0.443961979,0,0,0,0,0,,,,,0,1,1,4,14.49429462,14.3104878,0.109968699,0,0,0,Control
158,0.423801,1.622292,0.494181191,4.514995189,2.62,2.62,1.31,1.31,0.252173901,11.24686437,0.443961979,0,0,0,0,0,,,,,0,1,1,6,13.62045504,13.51859493,0,0,0,0,Control
11,10.924648,36.849204,9.890970467,2.030832291,20.96,36.68,10.48,22.27,4.471663952,32.95349071,7.021833703,5.736309386,2.723676176,0.778975242,0.620083333,1.613574635,0.474813332,0.135797285,0.108097958,0.281291424,1.926824046,3,1,8,0.245076519,0,0.040873252,2.002789348,0.040873252,1.849514653,Control
24,3.060785,16.814028,7.350228565,4.219901545,5.24,17.03,9.17,7.86,0.855785966,22.57558607,3.24116105,0.839405279,0.4514375,0.076351852,0.311615928,0,0.537806362,0.090959461,0.371234176,0,0.06957292,2,1,5,5.425,5.425,0.326986016,0.102912081,0,0,Control
33,1.977738,9.086224,3.321913015,2.615142728,11.79,19.65,3.93,15.72,1.018633485,23.55077725,8.330378128,0.123205128,0.025038462,0,0.098166667,0,0.203225806,0,0.796774194,0,0.482399706,3,1,5,1.914494016,1.854048813,0,0,0,0,Control
39,2.260272,9.43082,3.131326422,4.122067432,5.24,9.17,1.31,7.86,0.38949278,14.3993278,3.744396555,0,0,0,0,0,,,,,0,3,2,3,6.326582806,6.326582806,0,0,0,0,Control
43,1.695204,8.336055,3.262040211,5.276041318,2.62,11.79,10.48,1.31,0.579468608,20.630766,0.443961979,0.169090909,0.169090909,0,0,0,1,0,0,0,0.129728655,3,2,6,6.326582806,6.326582806,0,0.756433012,0,0,Control
47,1.271403,5.936686,2.205946941,3.906760407,3.93,19.65,2.62,17.03,1.153623104,31.53446587,14.4770823,0.46655,0,0.101266667,0,0.365283333,0,0.217054264,0,0.782945736,0.3038,3,1,8,5.629466849,5.629466849,0.060050433,0.015508963,0,0,Control
52,0.517979,2.928849,1.317868103,5.205525305,5.24,39.3,28.82,10.48,2.100394964,67.19698111,4.242457869,0,0,0,0,0,,,,,0.0682,3,2,5,5.777276898,5.733072649,0.065551216,0,0,0,Control
61,1.695204,6.568373,2.025273975,2.730568484,2.62,10.48,1.31,9.17,0.667874396,8.078636873,3.36023623,0.4867,0.0124,0.00775,0.072333333,0.394216667,0.025477707,0.015923567,0.148619958,0.809978769,0.197625,1,1,5,0,0,0,0,0,0,Control
66,0.565068,3.088561,1.343389002,5.516077717,2.62,15.72,7.86,7.86,0.589130461,21.63724828,1.276507557,0,0,0,0,0,,,,,0,2,1,8,3.375727773,3.375727773,0,0,0,0,Control
71,0.753424,3.619777,1.383930619,4.364761162,2.62,11.79,6.55,5.24,0.357065231,14.68872148,1.265015441,0,0,0,0,0,,,,,0,2,1,5,6.296740268,6.296740268,0,0,0,0,Control
86,0.753424,3.02932,0.969261561,2.956568631,6.55,9.17,2.62,6.55,0.511412978,10.19973902,4.915446624,0,0,0,0,0,,,,,0,2,1,4,0.217,0.217,0,0,0,0,Control
89,0.706335,2.332967,0.61319217,4.741928083,2.62,5.24,1.31,3.93,0.225507215,9.860900219,1.644338374,0.0155,0,0,0.0155,0,0,0,1,0,0.020666667,1,1,4,7.137947744,7.137947744,0,0,0,0,Control
90,0.517979,2.316909,0.824699889,6.574327773,2.62,22.27,5.24,17.03,1.797628522,50.79035668,8.387612776,0,0,0,0,0,,,,,0.03255,3,1,8,6.494264791,6.217722171,0.052868167,0,0,0,Control
104,0.659246,2.889355,1.00773059,3.811750058,2.62,3.93,1.31,2.62,0.157763973,6.304289772,0.933895484,0,0,0,0,0,,,,,0,1,1,4,7.183978285,7.183978285,0,0,0,0,Control
144,0.423801,1.787429,0.599909526,3.285162718,2.62,5.24,3.93,1.31,0.348792255,5.412470129,0.443961979,0,0,0,0,0,,,,,0,1,1,2,0.613768686,0.613768686,0,0,0,0,Control
145,0.517979,2.903677,1.295312606,5.711001926,2.62,2.62,1.31,1.31,0.124901183,5.660428957,0.443961979,0,0,0,0,0,,,,,0,1,1,1,9.126907527,9.126907527,0,0,0,0,Control
153,0.423801,2.478357,1.15333611,3.991049866,2.62,3.93,2.62,1.31,0.227053151,5.472275195,0.443961979,0,0,0,0,0,,,,,0,3,2,2,5.778070699,5.778070699,0,0,0,0,Control
8,6.827905,22.325394,5.808994031,5.452822202,6.55,51.09,40.61,10.48,2.565097332,61.40240678,4.388013523,6.187456796,1.026394813,0.245126196,1.269753795,3.646181992,0.165883148,0.039616632,0.205214167,0.589286053,0.468360143,17,4,6,19.66252913,17.55421363,9.360840666,0.259010681,0,0,Control
9,0.659246,3.739995,1.688436281,2.505405876,5.24,11.79,2.62,9.17,0.450931668,10.40794227,4.238448574,0,0,0,0,0,,,,,0,3,1,6,10.58194888,10.58194888,0,0,0,0,Control
13,4.332188,11.503604,2.430808169,8.114227609,5.24,18.34,6.55,11.79,0.614933848,24.52750527,4.2234954,0,0,0,0,0,,,,,0,10,5,3,17.58235721,17.58235721,0,0,0,0,Control
16,4.661811,17.183796,5.040500825,7.224013901,30.13,56.33,32.75,22.27,3.380939484,120.7148482,12.27217968,1.660539266,0.078107843,0.405882968,0.654287879,0.522260577,0.047037637,0.244428407,0.394021323,0.314512633,2.555171085,10,5,8,16.55488842,15.70366495,1.623386026,1.806818426,0,0,Control
17,3.107874,10.792929,2.982671146,5.939792377,14.41,18.34,6.55,10.48,1.913570404,46.18539822,5.390057541,0.248,0.0174375,0,0,0.2305625,0.0703125,0,0,0.9296875,0.033454167,13,6,5,19.15754854,19.15754854,0.070422393,0.051284026,0,0,Control
19,4.661811,18.764858,6.010713644,4.45682403,14.41,20.96,1.31,18.34,1.603073955,43.23993584,13.00314981,0.024131897,0,0,0,0.024131897,0,0,0,1,0.696428037,6,1,13,6.8768486,6.78276883,0,0,0,0,Control
21,4.190921,15.733585,4.700413264,6.264215775,3.93,14.41,6.55,7.86,0.558768928,14.82565688,2.475823271,0.013858824,0.013858824,0,0,0,1,0,0,0,0,15,5,13,17.83761119,17.83761119,0,0,0,0,Control
23,1.695204,8.214101,3.167293027,3.165493624,17.03,17.03,7.86,7.86,1.45772922,30.98954763,6.506433684,0.440763636,0.11625,0.161763636,0.072333333,0.090416667,0.263746803,0.367007673,0.164109122,0.205136402,0.191941667,9,4,6,22.43547872,22.42146659,0.049850397,0.127998262,0,0,Control
40,1.130136,4.45067,1.394794464,2.643839148,6.55,27.51,20.96,6.55,0.812681139,24.290707,2.398706574,0.33824053,0.02630303,0,0.3119375,0,0.077764277,0,0.922235723,0,0.29174053,2,2,6,15.84592223,15.53028841,0.248590273,0.003557968,0,0,Control
46,1.365581,7.422702,3.210677768,6.36704929,9.17,28.82,19.65,9.17,1.208695769,29.57396976,5.498406384,0.015077273,0,0.001643939,0.013433333,0,0,0.109034268,0.890965732,0,0.021371212,13,5,4,20.0886219,20.0886219,0,0.028945353,0,0,Control
48,1.742293,7.05467,2.273119936,3.203707846,13.1,90.39,83.84,6.55,1.304112792,23.66670154,3.507866031,0.1736,0,0,0.1736,0,0,0,1,0,0.048222222,12,4,6,21.41647569,21.40834503,0,0,0,0,Control
51,0.47089,2.092531,0.739970608,6.174951406,6.55,83.84,31.44,52.4,5.312173843,114.4735784,29.63680138,0,0,0,0,0,,,,,0.0651,7,2,8,21.84054101,21.8352038,0.069820868,0,0,0,Control
56,0.753424,3.966109,1.661422077,7.47432762,3.93,11.79,1.31,10.48,1.121195555,36.816899,6.465326255,0.1519,0,0.070525,0.081375,0,0,0.464285714,0.535714286,0,0,5,2,5,16.75200655,16.66384809,0.041921712,0,0,0,Control
64,0.565068,3.214204,1.454910562,2.25780286,14.41,69.43,27.51,41.92,2.232608557,23.95914408,35.94533037,0,0,0,0,0,,,,,0,6,3,5,24.15727586,24.15727586,0,0,0,0,Control
65,1.083047,6.037157,2.677982733,3.226882244,6.55,9.17,5.24,2.62,0.503213525,12.80642054,2.500135297,0,0,0,0,0,,,,,0,4,2,5,6.998039726,6.998039726,0,0,0,0,Control
69,0.517979,2.743965,1.156738307,2.203884353,6.55,30.13,9.17,20.96,0.820553362,15.13956786,9.181852431,0,0,0,0,0,,,,,0,6,3,3,24.17383896,24.17383896,0,0,0,0,Control
72,0.565068,2.498104,0.878841288,1.653625493,18.34,55.02,22.27,32.75,2.632608652,19.16133526,18.32562567,0,0,0,0,0,,,,,0,6,3,5,23.70470495,23.70470495,0,0,0,0,Control
80,0.753424,4.269475,1.925305429,8.378490167,7.86,34.06,17.03,17.03,1.37717402,65.75107896,3.767194134,0.093861111,0,0.042194444,0,0.051666667,0,0.449541284,0,0.550458716,0,1,1,8,15.19356138,15.07330173,0.214678162,0.035057425,0,0,Control
82,0.659246,3.108308,1.166247498,6.929054589,6.55,235.8,230.56,5.24,0.638509333,28.58872626,3.84907878,0,0,0,0,0,,,,,0,9,3,6,19.96046164,19.96046164,0,0,0,0,Control
83,0.94178,6.202294,3.250464072,7.725557057,3.93,35.37,11.79,23.58,0.818260849,26.85654703,35.39885078,0,0,0,0,0,,,,,0.042989015,8,3,4,19.79939204,19.79939204,0.00539388,0.382265792,0,0,Control
